iso3c,gdp_pc_usd,savings_pct,pop_growth_pct,max_missing
PNG,0,0.39473684210526316,0,0.39473684210526316
POL,0.21052631578947367,0.34210526315789475,0,0.34210526315789475
PRK,1,1,0,1
PRT,0,0,0,0
PRY,0,0,0,0
PSE,0.3157894736842105,0.3157894736842105,0.23684210526315788,0.3157894736842105
PYF,0,0.6052631578947368,0,0.6052631578947368
QAT,0,0.3157894736842105,0,0.3157894736842105
ROU,0.13157894736842105,0.21052631578947367,0,0.21052631578947367
RUS,0.15789473684210525,0.15789473684210525,0,0.15789473684210525
RWA,0,0,0,0
SAU,0,0,0,0
SDN,0,0,0,0
SEN,0,0,0,0
SGP,0,0,0,0
SLB,0,0,0,0
SLE,0,0,0,0
SLV,0,0,0,0
SMR,0.39473684210526316,0.868421052631579,0,0.868421052631579
SRB,0.34210526315789475,0.34210526315789475,0,0.34210526315789475
SSD,0.7894736842105263,0.7894736842105263,0,0.7894736842105263
STP,0,1,0,1
SUR,0,0.868421052631579,0,0.868421052631579
SVK,0.21052631578947367,0.21052631578947367,0,0.21052631578947367
SVN,0.21052631578947367,0.21052631578947367,0,0.21052631578947367
SWE,0,0,0,0
SWZ,0,0.8157894736842105,0,0.8157894736842105
SXM,0.7105263157894737,1,0,1
SYC,0,0,0,0
SYR,0,0,0,0
TCA,0.5,1,0,1
TCD,0,0,0,0
TGO,0,0,0,0
THA,0,0,0,0
TJK,0.21052631578947367,0.2894736842105263,0,0.2894736842105263
TKM,0.13157894736842105,0.42105263157894735,0,0.42105263157894735
TLS,0.21052631578947367,0.47368421052631576,0,0.47368421052631576
TON,0,0,0,0
TTO,0,1,0,1
TUN,0,0,0,0
TUR,0,0,0,0
TUV,0,1,0,1
TZA,0,0.21052631578947367,0,0.21052631578947367
UGA,0,0,0,0
UKR,0.13157894736842105,0.18421052631578946,0,0.18421052631578946
URY,0,0,0,0
USA,0,0,0,0
UZB,0.13157894736842105,0.2631578947368421,0,0.2631578947368421
VCT,0,1,0,1
VEN,0,0,0,0
VGB,1,1,0,1
VIR,0.5263157894736842,0.5263157894736842,0,0.5263157894736842
VNM,0.07894736842105263,0.34210526315789475,0,0.34210526315789475
VUT,0,0.02631578947368421,0,0.02631578947368421
WSM,0,0.7105263157894737,0,0.7105263157894737
XKX,0.6842105263157895,0.6842105263157895,0,0.6842105263157895
YEM,0.23684210526315788,0.23684210526315788,0,0.23684210526315788
ZAF,0,0,0,0
ZMB,0,0.7368421052631579,0,0.7368421052631579
ZWE,0,0,0,0
